"スキル項目コード","スキル項目識別子","知識項目コード","知識項目識別子","知識項目"
"S140020010","496","K029","10489","環境対策関連設備知識"
"S140020010","496","K030","10490","管理体制の確立に関する知識"
"S140020010","496","K031","10491","規制、法律、国際規格（ISO 9000、ISO/IEC 27001、COBIT、CMMI、EU第8号指令（SOXに関連する）、SOX、BaselⅡ、ISO/IEC 20000）"
"S140020010","496","K032","10492","傾向分析"
"S140020010","496","K033","10493","個々の設計のモニタ"
"S140020010","496","K034","10494","災害対策設備設計施工管理技術"
"S140020010","496","K035","10495","省エネルギー"
"S140020010","496","K036","10496","設計のレビュー"
"S140020010","496","K037","10497","組織・役割の設定に関する知識（オペレーション、サービスデスク等）"
"S140020010","496","K038","10498","導入スケジュールの検討"
"S140020010","496","K039","10499","導入方法の検討"
"S140020010","496","K040","10500","分析モデル化"
"S140020010","496","K041","10501","変更管理に関する知識"
"S140020010","496","K042","10502","防災防犯設備設計導入要件策定に関する知識"
"S140020010","496","K043","10503","目標の設定に関する知識"
"S140020010","496","K044","10504","問題管理に関する知識"
"S140020020","497","K001","10505","ITサービス実施フローの策定に関する知識"
"S140020020","497","K002","10506","RFC"
"S140020020","497","K003","10507","インシデント管理問題管理に関する知識"
"S140020020","497","K004","10508","オペレーティングシステムに関する知識"
"S140020020","497","K005","10509","テスト"
"S140020020","497","K006","10510","バックアップ"
"S140020020","497","K007","10511","パフォーマンス・キャパシティ管理に関する知識"
"S140020020","497","K008","10512","パフォーマンスの評価"
"S140020020","497","K009","10513","リスク管理（逸脱、テストの計画と結果）"
"S140020020","497","K010","10514","ログローテーション"
"S140020020","497","K011","10515","回復処理に関する知識"
"S140020020","497","K012","10516","構成管理・システム資源監視技術"
"S140020020","497","K013","10517","構成管理ツール"
"S140020020","497","K014","10518","再発防止"
"S140020020","497","K015","10519","資源平準化に関する知識"
"S140020020","497","K016","10520","障害の監視に関する知識"
"S140020020","497","K017","10521","情報システム資産管理に関する知識"
"S140020020","497","K018","10522","切り替え方式"
"S140020020","497","K019","10523","評価レポート"
"S140020020","497","K020","10524","評価計画"
"S140020020","497","K021","10525","変更のアセスメント（変更の評価、優先度の割り当て、変更の計画立案とスケジューリング）"
"S140020020","497","K022","10526","変更の構築"
"S140020020","497","K023","10527","変更レコードのレビュー"
"S140020020","497","K024","10528","変更管理"
"S140020020","497","K025","10529","変更管理システム"
"S140020030","498","K001","10530","コミュニケーション"
"S140020030","498","K002","10531","サービス・リハーサル"
"S140020030","498","K003","10532","サービストランジションのライフサイクル"
"S140020030","498","K004","10533","サービスの移行のレビューとクローズ"
"S140020030","498","K005","10534","テスト後のクリーンアップとクローズ"
"S140020030","498","K006","10535","リリース管理"
"S140020030","498","K007","10536","リリース及び展開管理"
"S140020030","498","K008","10537","レポートの評価"
"S140020030","498","K009","10538","移行戦略"
"S140020030","498","K010","10539","構成コントロール"
"S140020030","498","K011","10540","構成レポート"
"S140020030","498","K012","10541","構成識別（構成構造と構成アイテムの選択、構成アイテムの命名構成アイテムのラベル付け、構成アイテムの属性、構成文書の定義、関係、構成アイテムのタイプ、メディア・ライブラリの識別、構成ベースラインの識別、リリース・ユニットの識別）"
"S140020030","498","K013","10542","終了基準"
"S140020030","498","K014","10543","初期テスト"
"S140020030","498","K015","10544","助言"
"S140020030","498","K016","10545","新技術の活用"
"S140020030","498","K017","10546","進捗のモニタリング"
"S140020030","498","K018","10547","対障害弾力性の設計"
"S140020030","498","K019","10548","展開のレビューとクローズ"
"S140030010","499","K001","10549","ITIL"
"S140030010","499","K002","10550","サービス"
"S140030010","499","K003","10551","サービスの要求事項"
"S140030010","499","K004","10552","サービスマネジメント"
"S140030010","499","K005","10553","サービスマネジメントシステム"
"S140030010","499","K006","10554","サービスライフサイクル"
"S140030010","499","K007","10555","サービスレベル合意書（SLA）"
"S140030010","499","K008","2260","サービス及びサービスマネジメントシステムのパフォーマンス"
"S140030010","499","K009","10557","サービス提供者"
"S140030010","499","K010","10558","顧客"
"S140030020","500","K001","10559","CMSの自動更新"
"S140030020","500","K002","10560","CMSを維持する機能のあるソフトウェア・ツール"
"S140030020","500","K003","10561","DMLの内容とCMDBとの比較を自動化する"
"S140030020","500","K004","10562","IS運用指標の把握方法"
"S140030020","500","K005","10563","IS運用指標の評価方法"
"S140030020","500","K006","10564","ITIL"
"S140030020","500","K007","10565","ITサービスのコスト管理に関する知識"
"S140030020","500","K008","10566","ITサービス財務管理"
"S140030020","500","K009","10568","ITサービス財務管理に関する知識"
"S140030020","500","K010","10569","インシデントマネジメント"
"S140030020","500","K011","10570","キャパシティマネジメント"
"S140030020","500","K012","10571","コンポーネント・キャパシティ管理"
"S140030020","500","K013","10572","サービス・キャパシティ管理"
"S140030020","500","K014","10573","サービス・ポートフォリオ管理"
"S140030020","500","K015","10574","サービスカタログ管理"
"S140030020","500","K016","10575","サービスサポート"
"S140030020","500","K017","10576","サービスデリバリ"
"S140030020","500","K018","10577","サービスの可用性マネジメント"
"S140030020","500","K019","10578","サービスの継続性マネジメント"
"S140030020","500","K020","10579","サービスの計画"
"S140030020","500","K021","10580","サービスの提供"
"S140030020","500","K022","10581","サービスライフサイクルに関与する関係者の管理"
"S140030020","500","K023","10582","サービスレベル管理"
"S140030020","500","K024","10583","サービスレベル管理（SLM）"
"S140030020","500","K025","10584","サービスレベル管理に関する知識"
"S140030020","500","K026","10585","サービスレベル管理の設計に関する知識"
"S140030020","500","K027","10586","サービスレベル契約（SLA）"
"S140030020","500","K028","10587","サービス水準管理に関する知識"
"S140030020","500","K029","10588","システムライフサイクル"
"S140030020","500","K030","10589","バランススコアカード"
"S140030020","500","K031","10590","ヒアリング手法"
"S140030020","500","K032","10591","ビジネス・インパクト分析（BIA）"
"S140030020","500","K033","10592","リリースマネジメント"
"S140030020","500","K034","10593","運用品質に関する計画に対する結果の評価"
"S140030020","500","K035","10594","仮説構築法"
"S140030020","500","K036","10595","可用性"
"S140030020","500","K037","10596","完全化保守"
"S140030020","500","K038","10597","基準線（ベースライン）"
"S140030020","500","K039","10598","業務運用指標の評価方法"
"S140030020","500","K040","10599","業務運用評価報告の記載事項に関する知識"
"S140030020","500","K041","10600","構成管理"
"S140030020","500","K042","10603","構成管理システム（ツールの選定）"
"S140030020","500","K043","10604","構成管理システム（構成管理システムの構築）"
"S140030020","500","K044","10605","構成管理システム（要求仕様定義）"
"S140030020","500","K045","10606","構成管理の実践"
"S140030020","500","K046","10607","構成管理プロセス"
"S140030020","500","K047","10608","構成管理ポリシー（構成管理のルールの策定）"
"S140030020","500","K048","10609","構成管理ポリシー（構成管理プロセスの定義）"
"S140030020","500","K049","10610","構成管理計画書"
"S140030020","500","K050","10611","構成情報の定義、収集、更新"
"S140030020","500","K051","10612","構造化手法"
"S140030020","500","K052","10613","差異分析手法"
"S140030020","500","K053","10614","資産管理"
"S140030020","500","K054","10615","資産管理情報との照合"
"S140030020","500","K055","10616","障害時運用方式"
"S140030020","500","K056","10617","障害時運用方式に関する結果の評価"
"S140030020","500","K057","10618","是正保守"
"S140030020","500","K058","10619","性能に関する結果の評価"
"S140030020","500","K059","10620","性能に関する設計に関する知識"
"S140030020","500","K060","10621","適用保守"
"S140030020","500","K061","10622","投資利益率（ROI）"
"S140030020","500","K062","10623","問題マネジメント"
"S140030020","500","K063","10624","予防保守"
"S140030020","500","K064","10625","連携型CMDB"
"S140030030","92","K001","10626","OLA"
"S140030030","92","K002","10627","SLA"
"S140030030","92","K003","10628","SLAフレームワーク"
"S140030030","92","K004","10629","SLR"
"S140030030","92","K005","10630","サービス・パフォーマンスのモニタリング"
"S140030030","92","K006","10631","サービス・レビュー"
"S140030030","92","K007","10632","サービスレベル管理"
"S140030030","92","K008","10633","サービスレポート"
"S140030030","92","K009","2620","ジョン・コッターの組織を変革する8つのステップ"
"S140030030","92","K010","10634","供給者管理"
"S140030030","92","K011","2622","教育とコミットメント"
"S140030030","92","K012","2623","交渉と合意"
"S140030030","92","K013","2624","参加と関与"
"S140030030","92","K014","10635","事業関係管理"
"S140030030","92","K015","2625","操作と吸収"
"S140030030","92","K016","2626","促進とサポート"
"S140030030","92","K017","2627","変更に対する10の理由と克服するための技法"
"S140030030","92","K018","2628","明示的な威圧と暗黙的な威圧"
"S140030030","92","K019","2629","利害関係者の分析"
"S140030030","92","K020","2630","利害関係者マップ"
"S140030040","501","K001","10636","ITサービスのコスト管理"
"S140030040","501","K002","10637","コントロール"
"S140030040","501","K003","10638","サービスの予算業務及び会計業務"
"S140030040","501","K004","10639","サービスレベル要件"
"S140030040","501","K005","10640","サービス構成"
"S140030040","501","K006","10641","サプライヤのカテゴリ化"
"S140030040","501","K007","10642","パフォーマンス管理"
"S140030040","501","K008","10643","ビジネス費用"
"S140030040","501","K009","10644","経理知識"
"S140030040","501","K010","10645","財務知識"
"S140030040","501","K011","10646","需要管理"
"S140030040","501","K012","10647","対費用効果"
"S140030040","501","K013","10648","容量・能力管理"
"S140030050","90","K001","10649","CCB（Change Control Board）"
"S140030050","90","K002","2471","RFC"
"S140030050","90","K003","2472","イベント"
"S140030050","90","K004","2473","イベントのクローズ"
"S140030050","90","K005","2474","イベントの相関付け"
"S140030050","90","K006","2475","インシデント"
"S140030050","90","K007","2476","インシデント・レコード"
"S140030050","90","K008","2477","インシデントのエスカレーション"
"S140030050","90","K009","2478","インシデントのクローズ"
"S140030050","90","K010","2479","インシデントの解決、又はディスパッチ"
"S140030050","90","K011","2480","インシデントの記録"
"S140030050","90","K012","2481","インシデントの再提起のルール"
"S140030050","90","K013","2482","インシデントの受付"
"S140030050","90","K014","2483","インシデントの進捗管理"
"S140030050","90","K015","2485","インシデント管理"
"S140030050","90","K016","2486","エスカレーションパスの理解と活用"
"S140030050","90","K017","10651","お客様業務影響の把握"
"S140030050","90","K018","2487","お客様報告レポート作成と報告の実践"
"S140030050","90","K019","2488","キャパシティ管理"
"S140030050","90","K020","2493","サービス品質低下の可能性の把握"
"S140030050","90","K021","2494","サービス品質低下の原因調査"
"S140030050","90","K022","10652","サービス要求管理"
"S140030050","90","K023","2495","システム関連部署の理解"
"S140030050","90","K024","2496","システム障害の処理方法"
"S140030050","90","K025","2497","システム変更要求の処理方法"
"S140030050","90","K026","10653","ソフトウェア製品のエラー情報・ログデータの収集"
"S140030050","90","K027","10654","ソフトウェア製品の構成情報の収集"
"S140030050","90","K028","10655","チェックアウト"
"S140030050","90","K029","10656","チェックイン"
"S140030050","90","K030","10657","トラフィック分析ツールに関する知識"
"S140030050","90","K031","10658","トレーサビリティ"
"S140030050","90","K032","2499","トレーサビリティ管理"
"S140030050","90","K033","10659","ネットワークの信頼性に関する知識"
"S140030050","90","K034","10660","バージョン管理"
"S140030050","90","K035","10661","バージョン管理ツール"
"S140030050","90","K036","2500","ビジネス知識"
"S140030050","90","K037","2501","フィルタリング"
"S140030050","90","K038","10662","ベースライン"
"S140030050","90","K039","10663","ベースライン（基準線）"
"S140030050","90","K040","10664","リポジトリ"
"S140030050","90","K041","2503","ワークアラウンド"
"S140030050","90","K042","2504","影響度分析に関する知識"
"S140030050","90","K043","2507","解決と復旧"
"S140030050","90","K044","2509","回復処理"
"S140030050","90","K045","2510","広域水平展開・施策活用と実践"
"S140030050","90","K046","10665","構成管理委員会"
"S140030050","90","K047","2512","再発防止"
"S140030050","90","K048","2513","自動応答"
"S140030050","90","K049","2514","重大な問題のレビュー"
"S140030050","90","K050","10666","重要度の評価"
"S140030050","90","K051","2515","処置のレビュー"
"S140030050","90","K052","2516","初期診断"
"S140030050","90","K053","2517","障害の監視"
"S140030050","90","K054","10667","障害監視ツール"
"S140030050","90","K055","2518","障害記録"
"S140030050","90","K056","2519","障害原因の究明"
"S140030050","90","K057","10668","障害原因の究明に関する知識"
"S140030050","90","K058","2520","障害状況の調査方法"
"S140030050","90","K059","2521","全国水平展開施策検討・実施"
"S140030050","90","K060","2522","調査と診断"
"S140030050","90","K061","2523","追跡可能性"
"S140030050","90","K062","2524","不具合管理"
"S140030050","90","K063","2525","分散システムの障害管理"
"S140030050","90","K064","10669","変更管理"
"S140030050","90","K065","10670","変更管理委員会"
"S140030050","90","K066","10671","変更後のシステムの評価"
"S140030050","90","K067","10672","変更内容のトレース"
"S140030050","90","K068","10673","変更要求"
"S140030050","90","K069","10674","変更要求の評価"
"S140030050","90","K070","2527","問題のクローズ"
"S140030050","90","K071","2529","問題レコード"
"S140030050","90","K072","2530","問題管理"
"S140030050","90","K073","10676","優先度の評価"
"S140030060","502","K001","10677","ITSMのモニタ・コントロール・ループ"
"S140030060","502","K002","10678","ITサービスの改善"
"S140030060","502","K003","10679","SLA策定"
"S140030060","502","K004","10680","SLA策定手法"
"S140030060","502","K005","10681","インシデント管理システム、インシデント管理プロセス"
"S140030060","502","K006","10682","インパクト"
"S140030060","502","K007","10683","エンジニア到着時間"
"S140030060","502","K008","10684","コンポーネント障害インパクト分析"
"S140030060","502","K009","10685","サービス・キャパシティ管理"
"S140030060","502","K010","10686","サービスオペレーションの監査"
"S140030060","502","K011","10687","サービスの活用と実践"
"S140030060","502","K012","10688","サービスレベルのモニタリングと評価"
"S140030060","502","K013","10689","サービスレベル項目の設定"
"S140030060","502","K014","10690","サービス可用性管理"
"S140030060","502","K015","10691","サービス継続管理"
"S140030060","502","K016","10692","サービス障害分析"
"S140030060","502","K017","10693","システム監査"
"S140030060","502","K018","10694","セキュリティ管理"
"S140030060","502","K019","10695","チューニング"
"S140030060","502","K020","10696","ネットワーク監査"
"S140030060","502","K021","10697","バックアップとリカバリ"
"S140030060","502","K022","10698","ビジネス・キャパシティ管理"
"S140030060","502","K023","10699","ビジネス知識"
"S140030060","502","K024","10700","プロセス"
"S140030060","502","K025","10701","モニタリング"
"S140030060","502","K026","10702","リスク"
"S140030060","502","K027","10703","リスク・アセスメント"
"S140030060","502","K028","10704","リスク管理"
"S140030060","502","K029","10705","リソース・キャパシティ管理"
"S140030060","502","K030","10706","可用性管理"
"S140030060","502","K031","10707","拡張版インシデント・ライフサイクル（モニタリング（インシデントの検出）、インシデントの記録、調査）"
"S140030060","502","K032","10708","関連脅威"
"S140030060","502","K033","10709","技術監視"
"S140030060","502","K034","10710","継続的なレビュー"
"S140030060","502","K035","10711","故障樹解析"
"S140030060","502","K036","10712","災害対策体制づくり"
"S140030060","502","K037","10713","災害発生時の指揮"
"S140030060","502","K038","10714","障害率・休止率・出動率"
"S140030060","502","K039","10715","信頼性"
"S140030060","502","K040","10716","性能解析手法"
"S140030060","502","K041","10717","性能監視ツール"
"S140030060","502","K042","10718","性能設計技術（性能容量を考慮した設計技術および見積もり技術）"
"S140030060","502","K043","10719","脆弱性"
"S140030060","502","K044","10720","対障害弾力性の仕組みのテスト"
"S140030060","502","K045","10721","単一障害点分析"
"S140030060","502","K046","10722","内部および外部のモニタリングとコントロール"
"S140030060","502","K047","10723","非可用性の分析"
"S140030060","502","K048","10724","複雑なモニタ・コントロール・ループ"
"S140030060","502","K049","10725","分析"
"S140030060","502","K050","10726","平均修理時間（MTTR）"
"S140030060","502","K051","10727","平均障害間隔（MTBF）"
"S140030060","502","K052","10728","問題点を分類し、トレンド分析"
"S140030060","502","K053","10729","利便性"
"S140030060","502","K054","10730","利用可能性"
"S140040010","93","K001","10731","MTBF"
"S140040010","93","K002","10732","MTTR"
"S140040010","93","K003","10733","SLA（サービスレベルアグリーメント）"
"S140040010","93","K004","10734","SLM（サービスレベルマネジメント）"
"S140040010","93","K005","2631","アクティビティ定義"
"S140040010","93","K006","2632","アップグレード"
"S140040010","93","K007","2633","アプリケーション開発ツール"
"S140040010","93","K008","10735","インシデントマネジメント"
"S140040010","93","K009","2634","オペレーション/ジョブ管理に関する知識"
"S140040010","93","K010","10736","キャパシティマネジメント"
"S140040010","93","K011","2635","サービスデスクに関する知識"
"S140040010","93","K012","10737","サービスの可用性マネジメント"
"S140040010","93","K013","10738","サービスの継続性マネジメント"
"S140040010","93","K014","10739","サービスマネジメントに関する規格（ISO/IEC 20000）"
"S140040010","93","K015","10740","システム運用"
"S140040010","93","K016","2636","システム運用管理"
"S140040010","93","K017","2637","システム運用管理の評価技術"
"S140040010","93","K018","2638","システム運用管理技術"
"S140040010","93","K019","2639","システム管理"
"S140040010","93","K020","2640","シミュレータ"
"S140040010","93","K021","2641","スケジュール・コントロール"
"S140040010","93","K022","2642","ステークホルダー・マネジメント"
"S140040010","93","K023","2643","セキュリティ管理"
"S140040010","93","K024","2644","セキュリティ管理ツール"
"S140040010","93","K025","2645","データオペレーション"
"S140040010","93","K026","2646","データベースシステム"
"S140040010","93","K027","2647","デバッガ"
"S140040010","93","K028","2648","ナレッジマネジメント"
"S140040010","93","K029","2649","バックアップ・リカバリ方式"
"S140040010","93","K030","2650","パッチ"
"S140040010","93","K031","2651","プラットフォーム選定に関する知識"
"S140040010","93","K032","2652","ホットフィックス"
"S140040010","93","K033","2653","ユーザーコンサルティングに関する知識"
"S140040010","93","K034","2654","ユーザーサービスレベル方針決定に関する知識"
"S140040010","93","K035","2655","ユーザー教育・訓練技術に関する知識"
"S140040010","93","K036","2656","ユーザー支援技術"
"S140040010","93","K037","2657","ユーザー要求への対応に関する知識"
"S140040010","93","K038","2658","リスク・マネジメント"
"S140040010","93","K039","2659","リリース"
"S140040010","93","K040","10741","リリースマネジメント"
"S140040010","93","K041","2660","リリース管理に関する知識"
"S140040010","93","K042","2661","ログの取得、活用に関する知識"
"S140040010","93","K043","10742","運用のマネジメント"
"S140040010","93","K044","10743","稼働率"
"S140040010","93","K045","2662","開発環境要件の定義"
"S140040010","93","K046","10744","完全化保守"
"S140040010","93","K047","2663","環境対策管理手法の策定と活用"
"S140040010","93","K048","2664","監視に関する知識"
"S140040010","93","K049","2665","監視方式"
"S140040010","93","K050","2666","管理体制の確立"
"S140040010","93","K051","2667","業務フローの策定"
"S140040010","93","K052","2668","業務標準の策定"
"S140040010","93","K053","10745","緊急保守"
"S140040010","93","K054","2669","顧客満足度"
"S140040010","93","K055","2670","構成管理ツール"
"S140040010","93","K056","2671","資源管理"
"S140040010","93","K057","2672","実績報告"
"S140040010","93","K058","2673","重要なデータ保全体制"
"S140040010","93","K059","2674","障害監視ツール"
"S140040010","93","K060","2675","情報システム資産計画策定、管理"
"S140040010","93","K061","2676","情報配布"
"S140040010","93","K062","10746","是正保守"
"S140040010","93","K063","2677","性能監視ツール"
"S140040010","93","K064","2678","設計施工と維持運営ツール"
"S140040010","93","K065","2679","組織、役割の設定"
"S140040010","93","K066","2680","操作マニュアル・業務マニュアル作成"
"S140040010","93","K067","10747","適応保守"
"S140040010","93","K068","2681","適正要員の配置に関する知識"
"S140040010","93","K069","10748","品質管理"
"S140040010","93","K070","2682","変更管理に関する知識"
"S140040010","93","K071","10749","保守に関する規格（ISO/IEC 14764）"
"S140040010","93","K072","10750","保守のマネジメント"
"S140040010","93","K073","2683","防災・環境等関連法規に関する知識"
"S140040010","93","K074","2684","防災防犯のリスク管理に関する知識"
"S140040010","93","K075","2685","防災防犯設備維持運営に関する知識"
"S140040010","93","K076","10751","問題マネジメント"
"S140040010","93","K077","2686","問題管理に関する知識"
"S140040010","93","K078","10752","予防保守"
"S140040010","93","K079","2687","要員数の配置に関する知識"
"S140040020","94","K001","2689","ITILプロセスとプロセス間の関係"
"S140040020","94","K002","2690","ITIL基礎"
"S140040020","94","K003","2691","ITサービスマネジメントとITインフラストラクチャの重要性"
"S140040020","94","K004","2692","アーカイブ方針"
"S140040020","94","K005","2693","インターネット"
"S140040020","94","K006","2694","インターネット・サービス・プロバイダ（ISP）"
"S140040020","94","K007","2695","インデックス"
"S140040020","94","K008","2696","ウェブ・サービス"
"S140040020","94","K009","2697","ウェブコンテンツ"
"S140040020","94","K010","2698","ウェブサイト"
"S140040020","94","K011","2699","ウェブサイト・パフォーマンスのモニタリング"
"S140040020","94","K012","2700","オペレーティング・システムのサポート"
"S140040020","94","K013","2701","キャパシティ"
"S140040020","94","K014","2702","コンプライアンス"
"S140040020","94","K015","2703","サーバCIのライセンス管理"
"S140040020","94","K016","2704","サービスマネジメント・プロセスとプロセス間のインタフェース"
"S140040020","94","K017","2705","サブネットワーク"
"S140040020","94","K018","2706","サプライヤ管理"
"S140040020","94","K019","2707","シーケンス"
"S140040020","94","K020","2708","システムのセキュリティ"
"S140040020","94","K021","2709","ストアド・プロシージャ"
"S140040020","94","K022","2710","スナップショット"
"S140040020","94","K023","2711","セキュアなゲートウェイ"
"S140040020","94","K024","2712","データストレージ・ソフトウェア"
"S140040020","94","K025","2713","データベースデータの標準"
"S140040020","94","K026","2714","データベースのセキュリティ上の課題"
"S140040020","94","K027","2715","データベースのバックアップ、アーカイブ、およびストレージの戦略"
"S140040020","94","K028","2716","データベースの可用性[管理]"
"S140040020","94","K029","2717","データベースの初期設定"
"S140040020","94","K030","2718","データ保存インフラストラクチャの設計"
"S140040020","94","K031","2719","テーブル"
"S140040020","94","K032","2720","トランザクション量、応答時間、並行性レベルなど、利用のモニタリング"
"S140040020","94","K033","2721","ネットワーク・トラフィックのモニタリング"
"S140040020","94","K034","2722","ネットワークセキュリティ"
"S140040020","94","K035","2723","ネットワークのマルチキャストを設定"
"S140040020","94","K036","2724","バックアップ"
"S140040020","94","K037","2725","パフォーマンス"
"S140040020","94","K038","2726","パフォーマンスの管理"
"S140040020","94","K039","2727","ビュー"
"S140040020","94","K040","2728","ファイアウォールおよびセキュアなゲートウェイの管理"
"S140040020","94","K041","2729","ページ・ロック"
"S140040020","94","K042","2730","ミドルウェア"
"S140040020","94","K043","2731","モニタリング手法"
"S140040020","94","K044","2732","ユーティリティ"
"S140040020","94","K045","2733","リストア"
"S140040020","94","K046","2734","レポートの作成"
"S140040020","94","K047","2735","運用の資源管理"
"S140040020","94","K048","2736","仮想サーバ"
"S140040020","94","K049","2737","仮想技術"
"S140040020","94","K050","2738","再構成や再ルーティング"
"S140040020","94","K051","2739","侵入検知システム"
"S140040020","94","K052","2740","待ち行列のサイズを管理する"
"S140040020","94","K053","2741","調達の助言"
"S140040020","94","K054","2742","動的ホスト構成プロトコル（DHCP）システム"
"S140040020","94","K055","2743","分散環境全体に、更新されたソフトウェア・モジュールをリリース"
"S140040030","95","K001","2744","コンテンツ管理（ウェブパブリッシング・ツール、ウェブ会議、Wiki、ブログなど、文書作成、データ分析と財務分析、プレゼンテーション・ツール、フローチャート作成、コンテンツ管理システム（体系化、整理、バージョン・コントロール、文書アーキテクチャ）、公開と配布）"
"S140040030","95","K002","2745","ナレッジの視覚化"
"S140040030","95","K003","2746","ナレッジ管理の戦略（ナレッジの識別、取得、維持）"
"S140040030","95","K004","2747","レコード管理"
"S140040030","95","K005","2748","文書管理"
"S140040040","96","K001","2749","IDステータスのチェック"
"S140040040","96","K002","2750","アクセスの記録と追跡"
"S140040040","96","K003","2751","イベント管理の技法（圧縮、相関、選別、インテリジェントなモニタリング、ロールアップ、検証）"
"S140040040","96","K004","2752","システムの監視と操作"
"S140040040","96","K005","2753","ジョブ・スケジューリング"
"S140040040","96","K006","2754","スケジュール設計"
"S140040040","96","K007","2755","ディレクトリ・サービス"
"S140040040","96","K008","2756","ディレクトリ・サービスのイベントをモニタ"
"S140040040","96","K009","2757","テスト"
"S140040040","96","K010","2758","ネットワーク上にリソースを配置する"
"S140040040","96","K011","2759","モニタリング"
"S140040040","96","K012","2760","リソースのステータスを追跡"
"S140040040","96","K013","2761","レビュー"
"S140040040","96","K014","2762","運用オペレーション"
"S140040040","96","K015","2763","教育、意識付け、およびトレーニング"
"S140040040","96","K016","2764","計測の技法（非同期取得、外部ソース、手作業による生成、ポーリング、統合トランザクション）"
"S140040040","96","K017","2765","権限の削除または制限"
"S140040040","96","K018","2766","権限の提供"
"S140040040","96","K019","2767","変更管理"
"S140040050","97","K001","2768","ITサービス財務管理"
"S140040050","97","K002","2769","アプリケーションとサービスのパフォーマンス・モニタリング"
"S140040050","97","K003","2770","イベント・サービス"
"S140040050","97","K004","2771","イベント管理"
"S140040050","97","K005","2772","インシデント解決/問題解決の自動化"
"S140040050","97","K006","2773","インスタント・メッセージ"
"S140040050","97","K007","2774","オブジェクトのルーティング"
"S140040050","97","K008","2775","オンライン・イベントとネット・ショー"
"S140040050","97","K009","2776","カレンダとタスクの共有"
"S140040050","97","K010","2777","コミュニティ・ポータル"
"S140040050","97","K011","2778","サービスと技術のエンカウンタ（技術なし型、技術支援型、技術促進型、技術媒介型、技術生成型）"
"S140040050","97","K012","2779","サービスの要求（サービス・カタログとワークフロー）"
"S140040050","97","K013","2780","サービスレベル管理"
"S140040050","97","K014","2781","システム管理"
"S140040050","97","K015","2782","スレッド・ディスカッション"
"S140040050","97","K016","2783","セルフサービス・チャネル"
"S140040050","97","K017","2784","ソフトウェア・テスト管理"
"S140040050","97","K018","2785","ソフトウェア・バージョン・コントロール/ソフトウェア構成管理"
"S140040050","97","K019","2786","テレビ会議または電話会議"
"S140040050","97","K020","2787","ナレッジ管理"
"S140040050","97","K021","2788","ネットワーク管理"
"S140040050","97","K022","2789","パフォーマンス管理ツール"
"S140040050","97","K023","2790","ビジネス・インテリジェンス/報告"
"S140040050","97","K024","2791","フォーカスグループ"
"S140040050","97","K025","2792","プロジェクト管理"
"S140040050","97","K026","2793","ポートフォリオ管理"
"S140040050","97","K027","2794","ホワイトボード機能"
"S140040050","97","K028","2795","リリース"
"S140040050","97","K029","2796","ワークフロー設計"
"S140040050","97","K030","2797","運用支援ツール（監視ツール、診断ツールほか）"
"S140040050","97","K031","2798","構成データ"
"S140040050","97","K032","2799","私的財産、ベストプラクティス、実例集、テンプレートのリポジトリ"
"S140040050","97","K033","2800","承認チェックポイントでのゲートキーピング"
"S140040050","97","K034","2801","情報セキュリティ管理"
"S140040050","97","K035","2802","状態遷移サービス"
"S140040050","97","K036","2803","電子メール"
"S140040050","97","K037","2804","電子メール・エイリアス管理"
"S140040050","97","K038","2805","統計分析ツール"
"S140040060","98","K001","2806","CS向上活動（プランが策定）手法"
"S140040060","98","K002","2807","ITサービスに関する標準"
"S140040060","98","K003","2808","インシデント管理プロセスの機能"
"S140040060","98","K004","2809","お客様業務内容理解"
"S140040060","98","K005","2810","お客様定期報告"
"S140040060","98","K006","2811","クレームレベルの理解"
"S140040060","98","K007","2812","クレーム管理"
"S140040060","98","K008","2813","コールトラッキングシステムの機能"
"S140040060","98","K009","2814","サービスデスク"
"S140040060","98","K010","2815","サービスレベルのモニタリングと評価"
"S140040060","98","K011","2816","サービス継続性管理"
"S140040060","98","K012","2817","システム監査に関する基準"
"S140040060","98","K013","2818","ステークホルダー管理"
"S140040060","98","K014","2819","セキュリティに関する標準"
"S140040060","98","K015","2820","ソフトウェア構成"
"S140040060","98","K016","2821","ナレッジベースの活用"
"S140040060","98","K017","2822","ネットワーク構成"
"S140040060","98","K018","2823","ハードウェア構成"
"S140040060","98","K019","2824","ファシリティ構成"
"S140040060","98","K020","2825","ライセンス管理"
"S140040060","98","K021","2826","リソース管理"
"S140040060","98","K022","2827","リリース管理"
"S140040060","98","K023","2828","可用性管理"
"S140040060","98","K024","2829","稼働監視と傾向分析"
"S140040060","98","K025","2830","業務影響度の理解"
"S140040060","98","K026","2831","業務分析、現行IT環境分析に関する知識"
"S140040060","98","K027","2832","契約情報管理"
"S140040060","98","K028","2833","顧客満足度管理"
"S140040060","98","K029","2834","広域お客様管理"
"S140040060","98","K030","2835","資産管理"
"S140040060","98","K031","2836","情報資産（ナレッジマネジメント）管理"
"S140040060","98","K032","2837","是正処置"
"S140040060","98","K033","2838","測定と分析および改善"
"S140040060","98","K034","2839","体制構築、スケジュール立案に関する知識"
"S140040060","98","K035","2840","対人/ヒヤリング/会話対応知識"
"S140040060","98","K036","2841","知的資産の知識と活用"
"S140040060","98","K037","2842","品質計画と管理のツールと技法"
